experiment_id	created_at	owner	factor_name	card_path	config_version	harness_version	gate_a_decision	result_summary	status	parent_experiment_id	run_dir	notes
exp_20260329T081237Z_rc_20260329_order_lifecycle_churn_change_2026	2026-03-29T08:12:37.555037+00:00	agent	order_lifecycle_churn_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T081237Z_rc_20260329_order_lifecycle_churn_change_2026	standalone order change run
exp_20260329T082058Z_rc_20260329_order_lifecycle_churn_change_2026	2026-03-29T08:20:58.425343+00:00	agent	order_lifecycle_churn_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T082058Z_rc_20260329_order_lifecycle_churn_change_2026	sequential daily-base order change run
exp_20260329T082218Z_rc_20260329_close_vwap_gap_intensity_change_2026	2026-03-29T08:22:18.359658+00:00	agent	close_vwap_gap_intensity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T082218Z_rc_20260329_close_vwap_gap_intensity_change_2026	sequential daily-base close-vwap change run
exp_20260329T083624Z_rc_20260329_structural_activity_proxy_2026	2026-03-29T08:36:24.118159+00:00	agent	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T083624Z_rc_20260329_structural_activity_proxy_2026	full-year materialize trades lane
exp_20260329T083624Z_rc_20260329_order_lifecycle_churn_2026	2026-03-29T08:36:24.197245+00:00	agent	order_lifecycle_churn	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T083624Z_rc_20260329_order_lifecycle_churn_2026	full-year materialize orders lane
exp_20260329T083640Z_rc_20260329_avg_trade_notional_bias_2026	2026-03-29T08:36:40.722691+00:00	agent	avg_trade_notional_bias	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T083640Z_rc_20260329_avg_trade_notional_bias_2026	full-year materialize trades lane
exp_20260329T083654Z_rc_20260329_close_vwap_gap_intensity_2026	2026-03-29T08:36:54.256080+00:00	agent	close_vwap_gap_intensity	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T083654Z_rc_20260329_close_vwap_gap_intensity_2026	full-year materialize trades lane
exp_20260329T090115Z_rc_20260329_structural_activity_change_2026	2026-03-29T09:01:15.266288+00:00	agent	structural_activity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T090115Z_rc_20260329_structural_activity_change_2026	daily agg smoke structural change
exp_20260329T090115Z_rc_20260329_structural_activity_proxy_2026	2026-03-29T09:01:15.266634+00:00	agent	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T090115Z_rc_20260329_structural_activity_proxy_2026	daily agg smoke structural base
exp_20260329T090139Z_rc_20260329_structural_activity_proxy_2026	2026-03-29T09:01:39.936822+00:00	agent	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T090139Z_rc_20260329_structural_activity_proxy_2026	daily agg smoke structural base retry
exp_20260329T090150Z_rc_20260329_order_lifecycle_churn_2026	2026-03-29T09:01:50.681303+00:00	agent	order_lifecycle_churn	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T090150Z_rc_20260329_order_lifecycle_churn_2026	daily agg smoke order base
exp_20260329T091638Z_rc_20260329_structural_activity_proxy_2026	2026-03-29T09:16:38.893378+00:00	agent	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091638Z_rc_20260329_structural_activity_proxy_2026	full-year trades from daily agg
exp_20260329T091639Z_rc_20260329_avg_trade_notional_bias_2026	2026-03-29T09:16:39.343667+00:00	agent	avg_trade_notional_bias	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091639Z_rc_20260329_avg_trade_notional_bias_2026	full-year trades from daily agg
exp_20260329T091639Z_rc_20260329_close_vwap_gap_intensity_2026	2026-03-29T09:16:39.534681+00:00	agent	close_vwap_gap_intensity	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091639Z_rc_20260329_close_vwap_gap_intensity_2026	full-year trades from daily agg
exp_20260329T091639Z_rc_20260329_structural_activity_change_2026	2026-03-29T09:16:39.745550+00:00	agent	structural_activity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091639Z_rc_20260329_structural_activity_change_2026	full-year trades from daily agg
exp_20260329T091639Z_rc_20260329_avg_trade_notional_bias_change_2026	2026-03-29T09:16:39.986768+00:00	agent	avg_trade_notional_bias_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091639Z_rc_20260329_avg_trade_notional_bias_change_2026	full-year trades from daily agg
exp_20260329T091640Z_rc_20260329_close_vwap_gap_intensity_change_2026	2026-03-29T09:16:40.267508+00:00	agent	close_vwap_gap_intensity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091640Z_rc_20260329_close_vwap_gap_intensity_change_2026	full-year trades from daily agg
exp_20260329T091850Z_rc_20260329_order_lifecycle_churn_2026	2026-03-29T09:18:50.711228+00:00	agent	order_lifecycle_churn	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091850Z_rc_20260329_order_lifecycle_churn_2026	full-year orders from daily agg
exp_20260329T091851Z_rc_20260329_order_lifecycle_churn_change_2026	2026-03-29T09:18:51.008465+00:00	agent	order_lifecycle_churn_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260329T091851Z_rc_20260329_order_lifecycle_churn_change_2026	full-year orders from daily agg
exp_20260330T053834Z_rc_20260329_structural_activity_proxy_2026	2026-03-30T05:38:34.964936+00:00	agent	structural_activity_proxy	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_proxy_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053834Z_rc_20260329_structural_activity_proxy_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_avg_trade_notional_bias_2026	2026-03-30T05:38:35.186766+00:00	agent	avg_trade_notional_bias	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_avg_trade_notional_bias_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_order_lifecycle_churn_2026	2026-03-30T05:38:35.273808+00:00	agent	order_lifecycle_churn	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_order_lifecycle_churn_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_close_vwap_gap_intensity_2026	2026-03-30T05:38:35.371222+00:00	agent	close_vwap_gap_intensity	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_close_vwap_gap_intensity_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_structural_activity_change_2026	2026-03-30T05:38:35.453443+00:00	agent	structural_activity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/structural_activity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_structural_activity_change_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_avg_trade_notional_bias_change_2026	2026-03-30T05:38:35.539656+00:00	agent	avg_trade_notional_bias_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/avg_trade_notional_bias_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_avg_trade_notional_bias_change_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_order_lifecycle_churn_change_2026	2026-03-30T05:38:35.617941+00:00	agent	order_lifecycle_churn_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_lifecycle_churn_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_order_lifecycle_churn_change_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260329_close_vwap_gap_intensity_change_2026	2026-03-30T05:38:35.718125+00:00	agent	close_vwap_gap_intensity_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_gap_intensity_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260329_close_vwap_gap_intensity_change_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260330_order_trade_event_ratio_2026	2026-03-30T05:38:35.789312+00:00	agent	order_trade_event_ratio	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_trade_event_ratio_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260330_order_trade_event_ratio_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260330_order_trade_event_ratio_change_2026	2026-03-30T05:38:35.875203+00:00	agent	order_trade_event_ratio_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_trade_event_ratio_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260330_order_trade_event_ratio_change_2026	autoresearch cycle verified run
exp_20260330T053835Z_rc_20260330_order_trade_notional_ratio_2026	2026-03-30T05:38:35.965908+00:00	agent	order_trade_notional_ratio	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_trade_notional_ratio_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053835Z_rc_20260330_order_trade_notional_ratio_2026	autoresearch cycle verified run
exp_20260330T053836Z_rc_20260330_order_trade_notional_ratio_change_2026	2026-03-30T05:38:36.057181+00:00	agent	order_trade_notional_ratio_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_trade_notional_ratio_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T053836Z_rc_20260330_order_trade_notional_ratio_change_2026	autoresearch cycle verified run
exp_20260330T061746Z_rc_20260330_order_unique_trade_participation_gap_2026	2026-03-30T06:17:46.080382+00:00	agent	order_unique_trade_participation_gap	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_unique_trade_participation_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T061746Z_rc_20260330_order_unique_trade_participation_gap_2026	autoresearch cycle verified run
exp_20260330T061746Z_rc_20260330_order_unique_trade_participation_gap_change_2026	2026-03-30T06:17:46.230121+00:00	agent	order_unique_trade_participation_gap_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_unique_trade_participation_gap_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T061746Z_rc_20260330_order_unique_trade_participation_gap_change_2026	autoresearch cycle verified run
exp_20260330T061746Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	2026-03-30T06:17:46.328916+00:00	agent	order_notional_vs_trade_notional_gap	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_notional_vs_trade_notional_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T061746Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	autoresearch cycle verified run
exp_20260330T061746Z_rc_20260330_order_notional_vs_trade_notional_gap_change_2026	2026-03-30T06:17:46.411816+00:00	agent	order_notional_vs_trade_notional_gap_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_notional_vs_trade_notional_gap_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T061746Z_rc_20260330_order_notional_vs_trade_notional_gap_change_2026	autoresearch cycle verified run
exp_20260330T061746Z_rc_20260330_close_vwap_churn_interaction_2026	2026-03-30T06:17:46.514655+00:00	agent	close_vwap_churn_interaction	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_churn_interaction_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T061746Z_rc_20260330_close_vwap_churn_interaction_2026	autoresearch cycle verified run
exp_20260330T061746Z_rc_20260330_close_vwap_churn_interaction_change_2026	2026-03-30T06:17:46.598339+00:00	agent	close_vwap_churn_interaction_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_churn_interaction_change_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T061746Z_rc_20260330_close_vwap_churn_interaction_change_2026	autoresearch cycle verified run
exp_20260330T072230Z_rc_20260330_order_unique_trade_participation_gap_2026	2026-03-30T07:22:30.169237+00:00	agent	order_unique_trade_participation_gap_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_unique_trade_participation_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T072230Z_rc_20260330_order_unique_trade_participation_gap_2026	autoresearch cycle verified run
exp_20260330T072230Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	2026-03-30T07:22:30.364967+00:00	agent	order_notional_vs_trade_notional_gap_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/order_notional_vs_trade_notional_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T072230Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	autoresearch cycle verified run
exp_20260330T072230Z_rc_20260330_close_vwap_churn_interaction_2026	2026-03-30T07:22:30.448592+00:00	agent	close_vwap_churn_interaction_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch/research_cards/examples/close_vwap_churn_interaction_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/exp_20260330T072230Z_rc_20260330_close_vwap_churn_interaction_2026	autoresearch cycle verified run
exp_20260406T134853Z_rc_20260330_order_unique_trade_participation_gap_2026	2026-04-06T13:48:53.366210+00:00	agent	order_unique_trade_participation_gap	/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/research_cards/examples/order_unique_trade_participation_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/runs/exp_20260406T134853Z_rc_20260330_order_unique_trade_participation_gap_2026	autoresearch cycle verified run
exp_20260406T134854Z_rc_20260330_order_unique_trade_participation_gap_2026	2026-04-06T13:48:54.742919+00:00	agent	order_unique_trade_participation_gap_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/research_cards/examples/order_unique_trade_participation_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/runs/exp_20260406T134854Z_rc_20260330_order_unique_trade_participation_gap_2026	autoresearch cycle verified run
exp_20260406T134856Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	2026-04-06T13:48:56.245619+00:00	agent	order_notional_vs_trade_notional_gap	/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/research_cards/examples/order_notional_vs_trade_notional_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/runs/exp_20260406T134856Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	autoresearch cycle verified run
exp_20260406T134857Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	2026-04-06T13:48:57.525090+00:00	agent	order_notional_vs_trade_notional_gap_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/research_cards/examples/order_notional_vs_trade_notional_gap_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/runs/exp_20260406T134857Z_rc_20260330_order_notional_vs_trade_notional_gap_2026	autoresearch cycle verified run
exp_20260406T134858Z_rc_20260330_close_vwap_churn_interaction_2026	2026-04-06T13:48:58.828345+00:00	agent	close_vwap_churn_interaction	/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/research_cards/examples/close_vwap_churn_interaction_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/runs/exp_20260406T134858Z_rc_20260330_close_vwap_churn_interaction_2026	autoresearch cycle verified run
exp_20260406T134900Z_rc_20260330_close_vwap_churn_interaction_2026	2026-04-06T13:49:00.163116+00:00	agent	close_vwap_churn_interaction_change	/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/research_cards/examples/close_vwap_churn_interaction_2026.md	phase_a_baseline_v1	phase_a_harness_v1	pass	No Phase A data-admissibility issue found.	keep		/Users/yxin/AI_Workstation/hk_factor_autoresearch-main/runs/exp_20260406T134900Z_rc_20260330_close_vwap_churn_interaction_2026	autoresearch cycle verified run
